Year,Lardeau,MeadowCreek,Fecundity,ForkLengthMale,ForkLengthFemale
1964,1380000,346100,,,
1965,510000,116100,,,
1966,650000,597300,,,
1967,710000,606300,235,,
1968,,287600,338,,
1969,,407400,248,214,212
1970,,723200,250,218,218
1971,1000000,977200,303,233,231
1972,,529000,282,228,230
1973,1800000,616500,299,230,225
1974,3000000,822500,297,235,234
1975,,1060000,263,215,212
1976,,1281200,245,212,212
1977,,1378700,248,219,216
1978,,1346800,311,234,231
1979,1500000,378500,238,226,216
1980,700000,461500,284,224,222
1981,1000000,983600,268,216,217
1982,500000,473700,247,217,213
1983,500000,301500,237,211,209
1984,600000,484500,206,204,203
1985,,901100,215,206,205
1986,500000,697600,203,206,204
1987,250000,425900,191,205,209
1988,190000,467900,215,207,205
1989,150000,333000,205,213,206
1990,110000,326607,209,215,212
1991,40000,237088,249,229,218
1992,60000,460903,300,247,242
1993,254000,594959,408,271,267
1994,400000,853000,312,245,239
1995,167650,688095,348,247,247
1996,113718,1068000,206,205,211
1997,400000,1044227,187,197,195
1998,1060000,1138000,193,205,204
1999,526000,1204720,240,218,216
2000,186240,377716,281,243,241
2001,160000,431308,348,257,250
2002,110000,354000,295,237,233
2003,199969,900532,208,215,214
2004,249400,1276725,245,217,216
2005,232390,1036638,226,217,216
2006,107113,371194,315,252,249
2007,146821,387252,411,282,277
2008,409731,939594,379,259,254
2009,245555,662284,267,230,226
2010,250958,575830,214,213,211
2011,499572,1264528,179,200,199
2012,491560,764283,180,200,199
2013,250844,202748,285,276,270
2014,73950,73468,517,324,321
2015,10308,7653,570,365,341
2017,6281,4346,724,389,368